track_name,artist_name,year,popularity,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,language
"Leo Das Entry (From ""Leo"")",Anirudh Ravichander,2024,59,"Leo Das Entry (From ""Leo"")",0.0241,0.753,97297.0,0.97,0.0553,8.0,0.1,-5.994,0.0,0.103,110.997,4.0,0.459,Tamil
AAO KILLELLE,"Anirudh Ravichander, Pravin Mani, Vaishali Sriprathap",2024,47,AAO KILLELLE,0.0851,0.78,207369.0,0.793,0.0,10.0,0.0951,-5.674,0.0,0.0952,164.995,3.0,0.821,Tamil
Mayakiriye Sirikiriye - Orchestral EDM,"Anirudh Ravichander, Anivee, Alvin Bruno",2024,35,Mayakiriye Sirikiriye (Orchestral EDM),0.0311,0.457,82551.0,0.491,0.0,2.0,0.0831,-8.937,0.0,0.153,169.996,4.0,0.598,Tamil
Scene Ah Scene Ah - Experimental EDM Mix,"Anirudh Ravichander, Bharath Sankar, Kabilan, CM Lokesh, Stan & Sam",2024,24,Scene Ah Scene Ah (Experimental EDM Mix),0.227,0.718,115831.0,0.63,0.000727,7.0,0.124,-11.104,1.0,0.445,169.996,4.0,0.362,Tamil
Gundellonaa X I Am A Disco Dancer - Mashup,"Anirudh Ravichander, Benny Dayal, Leon James, Bappi Lahiri, Yashraj Kapil, Kasarla Shyam, Anjaan, Harish Hwarkling",2024,22,Gundellonaa X I Am a Disco Dancer (Mashup),0.0153,0.689,129621.0,0.748,1.35e-06,7.0,0.345,-9.637,1.0,0.158,128.961,4.0,0.593,Tamil
"Villain Yevadu Ra (From ""Leo (Telugu)"")","Anirudh Ravichander, Manisha Eerabathini, Sampath GK",2024,26,"Villain Yevadu Ra [From ""Leo (Telugu)""]",0.199,0.699,185802.0,0.789,0.0353,7.0,0.215,-8.139,0.0,0.0395,106.048,4.0,0.411,Telugu
Gundellonaa - Pop Kuthu,"Anirudh Ravichander, Leon James, Kasarla Shyam, Stan & Sam",2024,18,Gundellonaa (Pop Kuthu),0.085,0.559,74579.0,0.467,1.35e-05,9.0,0.178,-9.585,0.0,0.0802,132.038,4.0,0.518,Tamil
Knockout Song - Funk Mix,"Anirudh Ravichander, Madley Blues, Vignesh Shivan, Stan & Sam",2024,18,Knockout Song (Funk Mix),0.119,0.801,87089.0,0.504,0.0,4.0,0.132,-5.771,0.0,0.259,119.971,4.0,0.821,English
Rathamaarey (LoFi Version),"Anirudh Ravichander, Vishal Mishra, Vignesh Shivan, KS Abhishek",2024,34,Rathamaarey (LoFi Version),0.362,0.5,262785.0,0.486,0.37,4.0,0.299,-9.402,1.0,0.0444,158.191,4.0,0.119,Tamil
Theeraamal - Ambient Mix,"Anirudh Ravichander, Ramjeevan, Karthik Netha, Stan & Sam",2024,17,Theeraamal (Ambient Mix),0.646,0.619,91746.0,0.518,0.0196,1.0,0.114,-9.901,1.0,0.0428,126.101,4.0,0.136,Tamil
Nagarathey - Dance Mix,"Anirudh Ravichander, Thaman S, Vignesh Shivan, The Independeners",2024,15,Nagarathey (Dance Mix),0.714,0.647,120029.0,0.941,0.0101,4.0,0.319,-5.19,0.0,0.043,114.95,4.0,0.456,Tamil
"Villain Kaun Hai (From ""Leo (Hindi)"")","Anirudh Ravichander, Manisha Eerabathini, Sampath GK",2024,34,"Villain Kaun Hai [From ""Leo (Hindi)""]",0.28,0.684,185802.0,0.772,0.0052,7.0,0.0818,-8.282,0.0,0.0419,106.031,4.0,0.451,Hindi
"Villain Yaarava (From ""Leo (Kannada)"")","Anirudh Ravichander, Manisha Eerabathini, Sampath GK",2024,16,"Villain Yaarava [From ""Leo (Kannada)""]",0.228,0.684,185802.0,0.765,0.0756,7.0,0.3,-8.286,0.0,0.0395,106.004,4.0,0.499,Malayalam
"Villain Aarada (From ""Leo (Malayalam)"")","Anirudh Ravichander, Manisha Eerabathini, Sampath GK",2024,17,"Villain Aarada [From ""Leo (Malayalam)""]",0.34,0.684,185802.0,0.779,0.0608,7.0,0.113,-8.372,0.0,0.0395,106.012,4.0,0.467,Malayalam
